,Title,Company,Location,Link,Review
0,"new
BI Specialist",Laurentian Bank,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=b97c36edac09cf68&fccid=af614bc43ec65114&vjs=3,3.6
1,Software Test Specialist,EATON,"Montréal, QC+1 location",https://ca.indeed.com/rc/clk?jk=1daffe58ae486575&fccid=87f38351bd29de24&vjs=3,3.8
2,Quality Assurance Specialist,Korem,"Quebec City, QC",https://ca.indeed.com/company/Korem/jobs/Quality-Assurance-Specialist-65bc4a2fe24b826b?fccid=fd784f42735086ed&vjs=3,None
3,Document Configuration Specialist,Aon Corporation,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=98d2b0f78084339c&fccid=dc08cb56cb2d6276&vjs=3,3.7
4,Spécialiste de la collecte de données RSE - CSR Data Collect...,Impak Finance,"Montréal, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=ffde425bfde88a06&fccid=be69693de3334b7b&vjs=3,None
5,Quality Assurance Specialist,Equisoft,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=257b2f0967a5a12b&fccid=2c694c59744f41a8&vjs=3,5.0
6,QA Specialist,Groupe Dynamite Inc.,"Mont-royal, QC",https://ca.indeed.com/rc/clk?jk=a346762fb457b87b&fccid=491054a412533e48&vjs=3,3.4
7,Software Developer - Test Specialist,DRW,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=f095015eeef192a6&fccid=d9e7c4d795860e0c&vjs=3,4.4
8,Spécialiste Recherche Utilisateurs / User Research Specialis...,Square Enix Montreal,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=a088b8fd3f0bc40b&fccid=f1c4e35cc4ebf53e&vjs=3,3.9
9,"Data Analyst, IT Business Analyst Specialist, Intact Lab",Intact,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=44d3be04b7587237&fccid=a614b30520ebe6c9&vjs=3,3.8
10,Intermediate Quality Assurance Specialist (QA Engineer),Equisoft,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=f1ce8c93222d9894&fccid=2c694c59744f41a8&vjs=3,5.0
11,DevOps Specialist,Intact,"Saint-Hyacinthe, QC+1 location",https://ca.indeed.com/rc/clk?jk=18562b5004e01754&fccid=a614b30520ebe6c9&vjs=3,3.8
12,Computer Technician,Noovelia,"Trois-Rivières, QC",https://ca.indeed.com/rc/clk?jk=c036fe9cf4a08147&fccid=b2c40395a357bbbd&vjs=3,None
13,SPÉCIALISTE – SQA (Programmeur) / SQA Specialist (Programmer...,Kontron,"Boisbriand, QC",https://ca.indeed.com/rc/clk?jk=39ae5a6e866965e9&fccid=22d68b1d66a3d360&vjs=3,None
14,Software Developer Specialist,Intact,"Anjou, QC+1 location•Remote",https://ca.indeed.com/rc/clk?jk=46d6fb3b7e81b019&fccid=a614b30520ebe6c9&vjs=3,3.8
15,"new
Quality Designer",Electronic Arts,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=4c758308c8e5663d&fccid=617d7f961cfcf54a&vjs=3,3.8
16,Spécialiste BI / BI Specialist,DXC Technology,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=0e9ec8ddbceb2a5a&fccid=feaabf8e6a699d3c&vjs=3,3.2
17,Talent Acquisition Specialist,"ClinicalMind, LLC","Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=a2a60827a079f0ed&fccid=a8f158f44e8fe1d8&vjs=3,None
18,PACS Integration Specialist,Intelerad,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=d5f68cb545dda193&fccid=724d06bff9da027f&vjs=3,3.0
19,Senior Data Scientist ML & NLP expert,SITA,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=8a32e11b62b5ee3f&fccid=d15de92e17e3987d&vjs=3,3.8
20,Software Development Test Engineer,Rockwell Automation,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=3d6860fbf151d276&fccid=a4b7e90c6a891db3&vjs=3,3.9
21,QC - 2022 IT Graduate Leadership Program,Bell Canada,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=25ccb19f0d4cc2e5&fccid=b726a5ebc0841dee&vjs=3,3.8
22,Security GRC Specialist,Société Générale,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=988ad17bf6d02e73&fccid=df6948c9b8da6236&vjs=3,3.9
23,Stage - Développeur Back-End (Hiver 2022) / Back-End...,Paradocs Mountain Software,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=38953a2dac2cba38&fccid=ebe5a4bb96663080&vjs=3,None
24,Retirement Implementation Specialist (RIS),Willis Towers Watson,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=6715c2398bfd5abf&fccid=52f90de7b5346a08&vjs=3,3.6
25,QC Technical Services Specialist,Grifols,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=2b3b2c75cbcf4e3d&fccid=48963978859d9706&vjs=3,None
26,Développeur Fullstack / Fullstack Developer,Paradocs Mountain Software,"Quebec City, QC•Remote",https://ca.indeed.com/rc/clk?jk=e040f0d83f06bc44&fccid=ebe5a4bb96663080&vjs=3,None
27,Naval Payload Communication System Specialist,MDA,"Sainte-Anne-de-Bellevue, QC",https://ca.indeed.com/rc/clk?jk=e93a7545d1ac1c07&fccid=11f7828cf965b07c&vjs=3,3.5
28,Junior Integration Analyst,BBA,"Mont-Saint-Hilaire, QC",https://ca.indeed.com/rc/clk?jk=1131235e5053ede6&fccid=201d2daafa675fff&vjs=3,3.9
29,"Senior Engineer, Communications Systems Specialist",WSP,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=a942d0c94e8326b8&fccid=125e77713a321cdc&vjs=3,3.7
30,System Analyst,Abbvie,"Saint-Laurent, QC",https://ca.indeed.com/rc/clk?jk=c0ac39004b35a742&fccid=a3b51ece17c02aae&vjs=3,4.0
31,Senior Software QA Analyst,Cerence,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=c446aa030e6d44d9&fccid=96deaee4ceac5d13&vjs=3,3.8
32,Technical Sales Specialist Data Ops,IBM,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=d856d0d37de45054&fccid=de71a49b535e21cb&vjs=3,3.9
33,System & Network Administrator,Talent 300,"West Island, QC",https://ca.indeed.com/rc/clk?jk=7fe2a2c1d0ada424&fccid=f82340951d3f73d6&vjs=3,None
34,Software Developer C,IBS Software,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=eab6f337f2e7d140&fccid=db1499076b8eb11b&vjs=3,None
35,"Senior Software Engineer, Test",Rockwell Automation,"Brossard, QC",https://ca.indeed.com/rc/clk?jk=bccef51c008d1d46&fccid=a4b7e90c6a891db3&vjs=3,3.9
36,Embedded Software Developer,IMMERVISION,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=f51a762b0f933261&fccid=a27266161b8268de&vjs=3,None
37,"Senior Analyst, Broking and Financial Management",Aon Corporation,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=ec5d0d4d79011731&fccid=dc08cb56cb2d6276&vjs=3,3.7
38,SOFTWARE DEVELOPER,Omnimed,"Cookshire, QC",https://ca.indeed.com/rc/clk?jk=e46a5f4694450f40&fccid=242ae66111473f57&vjs=3,None
39,Spécialiste en architecture de sécurité/Security architectur...,SNC-Lavalin,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=79d2fbd028412d53&fccid=59b04a51f1164f7e&vjs=3,4.0
40,Software Project Engineer,Rockwell Automation,"Brossard, QC",https://ca.indeed.com/rc/clk?jk=8eeb9068250f12ee&fccid=a4b7e90c6a891db3&vjs=3,3.9
41,Chargé de produits / Product Owner,CAE Inc.,"Saint-Laurent, QC",https://ca.indeed.com/rc/clk?jk=781939ca3ce58570&fccid=b839f9af280b111f&vjs=3,3.6
